"ingredient","singnum","singredient"
"DASABUVIR SODIUM ; OMBITASVIR; PARITAPREVIR; RITONAVIR",4,"RITONAVIR"
"DASABUVIR SODIUM; OMBITASVIR; PARITAPREVIR; RITONAVIR",1,"DASABUVIR SODIUM"
"DASABUVIR SODIUM; OMBITASVIR; PARITAPREVIR; RITONAVIR",2,"OMBITASVIR"
"DASABUVIR SODIUM; OMBITASVIR; PARITAPREVIR; RITONAVIR",3,"PARITAPREVIR"
"DASABUVIR SODIUM; OMBITASVIR; PARITAPREVIR; RITONAVIR",4,"RITONAVIR"
"DASATINIB",1,"DASATINIB"
"DAUNORUBICIN CITRATE",1,"DAUNORUBICIN CITRATE"
"DAUNORUBICIN HYDROCHLORIDE",1,"DAUNORUBICIN HYDROCHLORIDE"
"DECAMETHONIUM BROMIDE",1,"DECAMETHONIUM BROMIDE"
"DECITABINE",1,"DECITABINE"
"DEFERASIROX",1,"DEFERASIROX"
"DEFERIPRONE",1,"DEFERIPRONE"
"DEFEROXAMINE MESYLATE",1,"DEFEROXAMINE MESYLATE"
"DEFIBROTIDE SODIUM",1,"DEFIBROTIDE SODIUM"
"DEFLAZACORT",1,"DEFLAZACORT"
"DEGARELIX ACETATE",1,"DEGARELIX ACETATE"
"DELAFLOXACIN MEGLUMINE",1,"DELAFLOXACIN MEGLUMINE"
"DELAVIRDINE MESYLATE",1,"DELAVIRDINE MESYLATE"
"DEMECARIUM BROMIDE",1,"DEMECARIUM BROMIDE"
"DEMECLOCYCLINE HYDROCHLORIDE",1,"DEMECLOCYCLINE HYDROCHLORIDE"
"DEOXYCHOLIC ACID",1,"DEOXYCHOLIC ACID"
"DESERPIDINE",1,"DESERPIDINE"
"DESERPIDINE; HYDROCHLOROTHIAZIDE",1,"DESERPIDINE"
"DESERPIDINE; HYDROCHLOROTHIAZIDE",2,"HYDROCHLOROTHIAZIDE"
"DESERPIDINE; METHYCLOTHIAZIDE",1,"DESERPIDINE"
"DESERPIDINE; METHYCLOTHIAZIDE",2,"METHYCLOTHIAZIDE"
"DESFLURANE",1,"DESFLURANE"
"DESIPRAMINE HYDROCHLORIDE",1,"DESIPRAMINE HYDROCHLORIDE"
"DESIRUDIN RECOMBINANT",1,"DESIRUDIN RECOMBINANT"
"DESLANOSIDE",1,"DESLANOSIDE"
"DESLORATADINE",1,"DESLORATADINE"
"DESLORATADINE; PSEUDOEPHEDRINE SULFATE",1,"DESLORATADINE"
"DESLORATADINE; PSEUDOEPHEDRINE SULFATE",2,"PSEUDOEPHEDRINE SULFATE"
"DESMETHYL PIROXICAM",1,"DESMETHYL PIROXICAM"
"DESMOPRESSIN ACETATE",1,"DESMOPRESSIN ACETATE"
"DESOGESTREL; ETHINYL ESTRADIOL",1,"DESOGESTREL"
"DESOGESTREL; ETHINYL ESTRADIOL",2,"ETHINYL ESTRADIOL"
"DESONIDE",1,"DESONIDE"
"DESOXIMETASONE",1,"DESOXIMETASONE"
"DESOXYCORTICOSTERONE ACETATE",1,"DESOXYCORTICOSTERONE ACETATE"
"DESOXYCORTICOSTERONE PIVALATE",1,"DESOXYCORTICOSTERONE PIVALATE"
"DESVENLAFAXINE",1,"DESVENLAFAXINE"
"DESVENLAFAXINE FUMARATE",1,"DESVENLAFAXINE FUMARATE"
"DESVENLAFAXINE SUCCINATE",1,"DESVENLAFAXINE SUCCINATE"
"DEUTETRABENAZINE",1,"DEUTETRABENAZINE"
"DEXAMETHASONE",1,"DEXAMETHASONE"
"DEXAMETHASONE ACETATE",1,"DEXAMETHASONE ACETATE"
"DEXAMETHASONE SODIUM PHOSPHATE",1,"DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE SODIUM PHOSPHATE; LIDOCAINE HYDROCHLORIDE",1,"DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE SODIUM PHOSPHATE; LIDOCAINE HYDROCHLORIDE",2,"LIDOCAINE HYDROCHLORIDE"
"DEXAMETHASONE SODIUM PHOSPHATE; NEOMYCIN SULFATE",1,"DEXAMETHASONE SODIUM PHOSPHATE"
"DEXAMETHASONE SODIUM PHOSPHATE; NEOMYCIN SULFATE",2,"NEOMYCIN SULFATE"
"DEXAMETHASONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE",1,"DEXAMETHASONE"
"DEXAMETHASONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE",2,"NEOMYCIN SULFATE"
"DEXAMETHASONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE",3,"POLYMYXIN B SULFATE"
"DEXAMETHASONE; TOBRAMYCIN",1,"DEXAMETHASONE"
"DEXAMETHASONE; TOBRAMYCIN",2,"TOBRAMYCIN"
"DEXBROMPHENIRAMINE MALEATE",1,"DEXBROMPHENIRAMINE MALEATE"
"DEXBROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE",1,"DEXBROMPHENIRAMINE MALEATE"
"DEXBROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE",2,"PSEUDOEPHEDRINE SULFATE"
"DEXCHLORPHENIRAMINE MALEATE",1,"DEXCHLORPHENIRAMINE MALEATE"
"DEXLANSOPRAZOLE",1,"DEXLANSOPRAZOLE"
"DEXMEDETOMIDINE HYDROCHLORIDE",1,"DEXMEDETOMIDINE HYDROCHLORIDE"
"DEXMETHYLPHENIDATE HYDROCHLORIDE",1,"DEXMETHYLPHENIDATE HYDROCHLORIDE"
"DEXRAZOXANE HYDROCHLORIDE",1,"DEXRAZOXANE HYDROCHLORIDE"
"DEXTROAMPHETAMINE SULFATE",1,"DEXTROAMPHETAMINE SULFATE"
"DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN",1,"DEXTROMETHORPHAN HYDROBROMIDE"
"DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN",2,"GUAIFENESIN"
"DEXTROMETHORPHAN HYDROBROMIDE; PROMETHAZINE HYDROCHLORIDE",1,"DEXTROMETHORPHAN HYDROBROMIDE"
"DEXTROMETHORPHAN HYDROBROMIDE; PROMETHAZINE HYDROCHLORIDE",2,"PROMETHAZINE HYDROCHLORIDE"
"DEXTROMETHORPHAN HYDROBROMIDE; QUINIDINE SULFATE",1,"DEXTROMETHORPHAN HYDROBROMIDE"
"DEXTROMETHORPHAN HYDROBROMIDE; QUINIDINE SULFATE",2,"QUINIDINE SULFATE"
"DEXTROMETHORPHAN POLISTIREX",1,"DEXTROMETHORPHAN POLISTIREX"
"DEXTROSE",1,"DEXTROSE"
"DEXTROSE; MAGNESIUM ACETATE TETRAHYDRATE; POTASSIUM ACETATE; SODIUM CHLORIDE",1,"DEXTROSE"
"DEXTROSE; MAGNESIUM ACETATE TETRAHYDRATE; POTASSIUM ACETATE; SODIUM CHLORIDE",2,"MAGNESIUM ACETATE TETRAHYDRATE"
"DEXTROSE; MAGNESIUM ACETATE TETRAHYDRATE; POTASSIUM ACETATE; SODIUM CHLORIDE",3,"POTASSIUM ACETATE"
"DEXTROSE; MAGNESIUM ACETATE TETRAHYDRATE; POTASSIUM ACETATE; SODIUM CHLORIDE",4,"SODIUM CHLORIDE"
"DEXTROSE; MAGNESIUM ACETATE; POTASSIUM ACETATE; SODIUM CHLORIDE",1,"DEXTROSE"
"DEXTROSE; MAGNESIUM ACETATE; POTASSIUM ACETATE; SODIUM CHLORIDE",2,"MAGNESIUM ACETATE"
"DEXTROSE; MAGNESIUM ACETATE; POTASSIUM ACETATE; SODIUM CHLORIDE",3,"POTASSIUM ACETATE"
"DEXTROSE; MAGNESIUM ACETATE; POTASSIUM ACETATE; SODIUM CHLORIDE",4,"SODIUM CHLORIDE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE",1,"DEXTROSE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE",2,"MAGNESIUM CHLORIDE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE",3,"POTASSIUM CHLORIDE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE",4,"POTASSIUM PHOSPHATE, DIBASIC"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE",5,"SODIUM ACETATE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE; SODIUM LACTATE; SODIUM PHOSPHATE, MONOBASIC ANHYDROUS",1,"DEXTROSE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE; SODIUM LACTATE; SODIUM PHOSPHATE, MONOBASIC ANHYDROUS",2,"MAGNESIUM CHLORIDE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE; SODIUM LACTATE; SODIUM PHOSPHATE, MONOBASIC ANHYDROUS",3,"POTASSIUM CHLORIDE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE; SODIUM LACTATE; SODIUM PHOSPHATE, MONOBASIC ANHYDROUS",4,"POTASSIUM PHOSPHATE, DIBASIC"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE; SODIUM LACTATE; SODIUM PHOSPHATE, MONOBASIC ANHYDROUS",5,"SODIUM CHLORIDE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE; SODIUM LACTATE; SODIUM PHOSPHATE, MONOBASIC ANHYDROUS",6,"SODIUM LACTATE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE; SODIUM LACTATE; SODIUM PHOSPHATE, MONOBASIC ANHYDROUS",7,"SODIUM PHOSPHATE, MONOBASIC ANHYDROUS"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM CHLORIDE; SODIUM LACTATE",1,"DEXTROSE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM CHLORIDE; SODIUM LACTATE",2,"MAGNESIUM CHLORIDE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM CHLORIDE; SODIUM LACTATE",3,"POTASSIUM CHLORIDE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM CHLORIDE; SODIUM LACTATE",4,"POTASSIUM PHOSPHATE, MONOBASIC"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM CHLORIDE; SODIUM LACTATE",5,"SODIUM CHLORIDE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM CHLORIDE; SODIUM LACTATE",6,"SODIUM LACTATE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM LACTATE; SODIUM PHOSPHATE, MONOBASIC ANHYDROUS",1,"DEXTROSE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM LACTATE; SODIUM PHOSPHATE, MONOBASIC ANHYDROUS",2,"MAGNESIUM CHLORIDE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM LACTATE; SODIUM PHOSPHATE, MONOBASIC ANHYDROUS",3,"POTASSIUM CHLORIDE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM LACTATE; SODIUM PHOSPHATE, MONOBASIC ANHYDROUS",4,"POTASSIUM PHOSPHATE, MONOBASIC"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM LACTATE; SODIUM PHOSPHATE, MONOBASIC ANHYDROUS",5,"SODIUM LACTATE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM LACTATE; SODIUM PHOSPHATE, MONOBASIC ANHYDROUS",6,"SODIUM PHOSPHATE, MONOBASIC ANHYDROUS"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE",1,"DEXTROSE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE",2,"MAGNESIUM CHLORIDE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE",3,"POTASSIUM CHLORIDE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE",4,"SODIUM ACETATE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE",5,"SODIUM CHLORIDE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE",1,"DEXTROSE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE",2,"MAGNESIUM CHLORIDE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE",3,"POTASSIUM CHLORIDE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE",4,"SODIUM ACETATE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE",5,"SODIUM CHLORIDE"
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE",6,"SODIUM GLUCONATE"
"DEXTROSE; POTASSIUM CHLORIDE",1,"DEXTROSE"
"DEXTROSE; POTASSIUM CHLORIDE",2,"POTASSIUM CHLORIDE"
"DEXTROSE; POTASSIUM CHLORIDE; POTASSIUM LACTATE; SODIUM CHLORIDE; SODIUM PHOSPHATE, MONOBASIC ANHYDROUS",1,"DEXTROSE"
"DEXTROSE; POTASSIUM CHLORIDE; POTASSIUM LACTATE; SODIUM CHLORIDE; SODIUM PHOSPHATE, MONOBASIC ANHYDROUS",2,"POTASSIUM CHLORIDE"
"DEXTROSE; POTASSIUM CHLORIDE; POTASSIUM LACTATE; SODIUM CHLORIDE; SODIUM PHOSPHATE, MONOBASIC ANHYDROUS",3,"POTASSIUM LACTATE"
"DEXTROSE; POTASSIUM CHLORIDE; POTASSIUM LACTATE; SODIUM CHLORIDE; SODIUM PHOSPHATE, MONOBASIC ANHYDROUS",4,"SODIUM CHLORIDE"
"DEXTROSE; POTASSIUM CHLORIDE; POTASSIUM LACTATE; SODIUM CHLORIDE; SODIUM PHOSPHATE, MONOBASIC ANHYDROUS",5,"SODIUM PHOSPHATE, MONOBASIC ANHYDROUS"
"DEXTROSE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE",1,"DEXTROSE"
"DEXTROSE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE",2,"POTASSIUM CHLORIDE"
"DEXTROSE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE",3,"POTASSIUM PHOSPHATE, DIBASIC"
"DEXTROSE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE",4,"SODIUM ACETATE"
"DEXTROSE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE",5,"SODIUM CHLORIDE"
"DEXTROSE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM CHLORIDE; SODIUM LACTATE",1,"DEXTROSE"
"DEXTROSE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM CHLORIDE; SODIUM LACTATE",2,"POTASSIUM CHLORIDE"
"DEXTROSE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM CHLORIDE; SODIUM LACTATE",3,"POTASSIUM PHOSPHATE, MONOBASIC"
"DEXTROSE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM CHLORIDE; SODIUM LACTATE",4,"SODIUM CHLORIDE"
"DEXTROSE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM CHLORIDE; SODIUM LACTATE",5,"SODIUM LACTATE"
"DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE",1,"DEXTROSE"
"DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE",2,"POTASSIUM CHLORIDE"
"DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE",3,"SODIUM CHLORIDE"
"DEXTROSE; SODIUM CHLORIDE",1,"DEXTROSE"
"DEXTROSE; SODIUM CHLORIDE",2,"SODIUM CHLORIDE"
"DEXTROTHYROXINE SODIUM",1,"DEXTROTHYROXINE SODIUM"
"DEZOCINE",1,"DEZOCINE"
"DIATRIZOATE MEGLUMINE",1,"DIATRIZOATE MEGLUMINE"
"DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM",1,"DIATRIZOATE MEGLUMINE"
"DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM",2,"DIATRIZOATE SODIUM"
"DIATRIZOATE MEGLUMINE; IODIPAMIDE MEGLUMINE",1,"DIATRIZOATE MEGLUMINE"
"DIATRIZOATE MEGLUMINE; IODIPAMIDE MEGLUMINE",2,"IODIPAMIDE MEGLUMINE"
"DIATRIZOATE SODIUM",1,"DIATRIZOATE SODIUM"
"DIAZEPAM",1,"DIAZEPAM"
"DIAZOXIDE",1,"DIAZOXIDE"
"DIBUCAINE HYDROCHLORIDE",1,"DIBUCAINE HYDROCHLORIDE"
"DICHLORPHENAMIDE",1,"DICHLORPHENAMIDE"
"DICLOFENAC",1,"DICLOFENAC"
"DICLOFENAC EPOLAMINE",1,"DICLOFENAC EPOLAMINE"
"DICLOFENAC POTASSIUM",1,"DICLOFENAC POTASSIUM"
"DICLOFENAC SODIUM",1,"DICLOFENAC SODIUM"
"DICLOFENAC SODIUM; MISOPROSTOL",1,"DICLOFENAC SODIUM"
"DICLOFENAC SODIUM; MISOPROSTOL",2,"MISOPROSTOL"
"DICLOXACILLIN SODIUM",1,"DICLOXACILLIN SODIUM"
"DICUMAROL",1,"DICUMAROL"
"DICYCLOMINE HYDROCHLORIDE",1,"DICYCLOMINE HYDROCHLORIDE"
"DIDANOSINE",1,"DIDANOSINE"
"DIENESTROL",1,"DIENESTROL"
"DIENOGEST; ESTRADIOL VALERATE",1,"DIENOGEST"
"DIENOGEST; ESTRADIOL VALERATE",2,"ESTRADIOL VALERATE"
"DIETHYLCARBAMAZINE CITRATE",1,"DIETHYLCARBAMAZINE CITRATE"
"DIETHYLPROPION HYDROCHLORIDE",1,"DIETHYLPROPION HYDROCHLORIDE"
"DIETHYLSTILBESTROL",1,"DIETHYLSTILBESTROL"
"DIETHYLSTILBESTROL DIPHOSPHATE",1,"DIETHYLSTILBESTROL DIPHOSPHATE"
"DIFLORASONE DIACETATE",1,"DIFLORASONE DIACETATE"
"DIFLUNISAL",1,"DIFLUNISAL"
"DIFLUPREDNATE",1,"DIFLUPREDNATE"
"DIGITOXIN",1,"DIGITOXIN"
"DIGOXIN",1,"DIGOXIN"
"DIHYDROERGOTAMINE MESYLATE",1,"DIHYDROERGOTAMINE MESYLATE"
"DIHYDROERGOTAMINE MESYLATE; HEPARIN SODIUM; LIDOCAINE HYDROCHLORIDE",1,"DIHYDROERGOTAMINE MESYLATE"
"DIHYDROERGOTAMINE MESYLATE; HEPARIN SODIUM; LIDOCAINE HYDROCHLORIDE",2,"HEPARIN SODIUM"
"DIHYDROERGOTAMINE MESYLATE; HEPARIN SODIUM; LIDOCAINE HYDROCHLORIDE",3,"LIDOCAINE HYDROCHLORIDE"
"DILTIAZEM HYDROCHLORIDE",1,"DILTIAZEM HYDROCHLORIDE"
"DILTIAZEM MALATE",1,"DILTIAZEM MALATE"
"DILTIAZEM MALATE; ENALAPRIL MALEATE",1,"DILTIAZEM MALATE"
"DILTIAZEM MALATE; ENALAPRIL MALEATE",2,"ENALAPRIL MALEATE"
"DIMENHYDRINATE",1,"DIMENHYDRINATE"
"DIMERCAPROL",1,"DIMERCAPROL"
"DIMETHYL FUMARATE",1,"DIMETHYL FUMARATE"
"DIMETHYL SULFOXIDE",1,"DIMETHYL SULFOXIDE"
"DIMYRISTOYL LECITHIN; PERFLEXANE",1,"DIMYRISTOYL LECITHIN"
"DIMYRISTOYL LECITHIN; PERFLEXANE",2,"PERFLEXANE"
"DINOPROST TROMETHAMINE",1,"DINOPROST TROMETHAMINE"
"DINOPROSTONE",1,"DINOPROSTONE"
"DIPHEMANIL METHYLSULFATE",1,"DIPHEMANIL METHYLSULFATE"
"DIPHENHYDRAMINE CITRATE; IBUPROFEN",1,"DIPHENHYDRAMINE CITRATE"
"DIPHENHYDRAMINE CITRATE; IBUPROFEN",2,"IBUPROFEN"
"DIPHENHYDRAMINE HYDROCHLORIDE",1,"DIPHENHYDRAMINE HYDROCHLORIDE"
"DIPHENHYDRAMINE HYDROCHLORIDE; IBUPROFEN",1,"DIPHENHYDRAMINE HYDROCHLORIDE"
"DIPHENHYDRAMINE HYDROCHLORIDE; IBUPROFEN",2,"IBUPROFEN"
"DIPHENHYDRAMINE HYDROCHLORIDE; NAPROXEN SODIUM",1,"DIPHENHYDRAMINE HYDROCHLORIDE"
"DIPHENHYDRAMINE HYDROCHLORIDE; NAPROXEN SODIUM",2,"NAPROXEN SODIUM"
"DIPHENHYDRAMINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE",1,"DIPHENHYDRAMINE HYDROCHLORIDE"
"DIPHENHYDRAMINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE",2,"PSEUDOEPHEDRINE HYDROCHLORIDE"
"DIPHENIDOL HYDROCHLORIDE",1,"DIPHENIDOL HYDROCHLORIDE"
"DIPHENYLPYRALINE HYDROCHLORIDE",1,"DIPHENYLPYRALINE HYDROCHLORIDE"
"DIPIVEFRIN HYDROCHLORIDE",1,"DIPIVEFRIN HYDROCHLORIDE"
"DIPYRIDAMOLE",1,"DIPYRIDAMOLE"
"DIRITHROMYCIN",1,"DIRITHROMYCIN"
"DISOPYRAMIDE PHOSPHATE",1,"DISOPYRAMIDE PHOSPHATE"
"DISULFIRAM",1,"DISULFIRAM"
"DIVALPROEX SODIUM",1,"DIVALPROEX SODIUM"
"DOBUTAMINE HYDROCHLORIDE",1,"DOBUTAMINE HYDROCHLORIDE"
"DOCETAXEL",1,"DOCETAXEL"
"DOCOSANOL",1,"DOCOSANOL"
"DOFETILIDE",1,"DOFETILIDE"
"DOLASETRON MESYLATE",1,"DOLASETRON MESYLATE"
"DOLUTEGRAVIR SODIUM",1,"DOLUTEGRAVIR SODIUM"
"DONEPEZIL HYDROCHLORIDE",1,"DONEPEZIL HYDROCHLORIDE"
"DONEPEZIL HYDROCHLORIDE; MEMANTINE HYDROCHLORIDE",1,"DONEPEZIL HYDROCHLORIDE"
"DONEPEZIL HYDROCHLORIDE; MEMANTINE HYDROCHLORIDE",2,"MEMANTINE HYDROCHLORIDE"
"DOPAMINE HYDROCHLORIDE",1,"DOPAMINE HYDROCHLORIDE"
"DORIPENEM",1,"DORIPENEM"
"DORZOLAMIDE HYDROCHLORIDE",1,"DORZOLAMIDE HYDROCHLORIDE"
"DORZOLAMIDE HYDROCHLORIDE; TIMOLOL MALEATE",1,"DORZOLAMIDE HYDROCHLORIDE"
"DORZOLAMIDE HYDROCHLORIDE; TIMOLOL MALEATE",2,"TIMOLOL MALEATE"
"DOXACURIUM CHLORIDE",1,"DOXACURIUM CHLORIDE"
"DOXAPRAM HYDROCHLORIDE",1,"DOXAPRAM HYDROCHLORIDE"
"DOXAZOSIN MESYLATE",1,"DOXAZOSIN MESYLATE"
"DOXEPIN HYDROCHLORIDE",1,"DOXEPIN HYDROCHLORIDE"
"DOXERCALCIFEROL",1,"DOXERCALCIFEROL"
"DOXORUBICIN HYDROCHLORIDE",1,"DOXORUBICIN HYDROCHLORIDE"
"DOXYCYCLINE",1,"DOXYCYCLINE"
"DOXYCYCLINE CALCIUM",1,"DOXYCYCLINE CALCIUM"
"DOXYCYCLINE HYCLATE",1,"DOXYCYCLINE HYCLATE"
"DOXYLAMINE SUCCINATE",1,"DOXYLAMINE SUCCINATE"
"DOXYLAMINE SUCCINATE; PYRIDOXINE HYDROCHLORIDE",1,"DOXYLAMINE SUCCINATE"
"DOXYLAMINE SUCCINATE; PYRIDOXINE HYDROCHLORIDE",2,"PYRIDOXINE HYDROCHLORIDE"
"DROMOSTANOLONE PROPIONATE",1,"DROMOSTANOLONE PROPIONATE"
"DRONABINOL",1,"DRONABINOL"
"DRONEDARONE HYDROCHLORIDE",1,"DRONEDARONE HYDROCHLORIDE"
"DROPERIDOL",1,"DROPERIDOL"
"DROPERIDOL; FENTANYL CITRATE",1,"DROPERIDOL"
"DROPERIDOL; FENTANYL CITRATE",2,"FENTANYL CITRATE"
"DROSPIRENONE; ESTRADIOL",1,"DROSPIRENONE"
"DROSPIRENONE; ESTRADIOL",2,"ESTRADIOL"
"DROSPIRENONE; ETHINYL ESTRADIOL",1,"DROSPIRENONE"
"DROSPIRENONE; ETHINYL ESTRADIOL",2,"ETHINYL ESTRADIOL"
"DROSPIRENONE; ETHINYL ESTRADIOL; LEVOMEFOLATE CALCIUM",1,"DROSPIRENONE"
"DROSPIRENONE; ETHINYL ESTRADIOL; LEVOMEFOLATE CALCIUM",2,"ETHINYL ESTRADIOL"
"DROSPIRENONE; ETHINYL ESTRADIOL; LEVOMEFOLATE CALCIUM",3,"LEVOMEFOLATE CALCIUM"
"DROXIDOPA",1,"DROXIDOPA"
"DULOXETINE HYDROCHLORIDE",1,"DULOXETINE HYDROCHLORIDE"
"DUTASTERIDE",1,"DUTASTERIDE"
"DUTASTERIDE; TAMSULOSIN HYDROCHLORIDE",1,"DUTASTERIDE"
